trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
7	0	2	1	4	3	1	3	0.0	1	2012	4	1	7	13.0	14	1	0	2	778	0.1888888889999999	0.061944444	0.109444444	0.0	0.055555556	0.0	0	0.059444444	0.0	0.15	0.0	0.11215
21	5	1	1	4	3	1	5	0.0	1	2012	4	1	7	14.5	64	1	1	1	2199	0.603055556	0.2047222219999999	0.083888889	0.0	0.293611111	0.0	0	0.167777778	0.0	0.46	0.0	0.243377
27	7	1	0	4	4	2	1	1.0	1	2012	4	1	7	7.0	51	0	1	1	15995	3.7825	1.100277778	0.1938888889999999	0.5166666670000001	0.0	0.1	1	0.3408333329999999	1.5	2.04	0.0	0.280359
52	12	1	2	4	5	2	1	1.0	1	2012	4	1	7	11.41666667	56	1	1	1	7703	1.814722222	0.615555556	0.0625	0.0	0.491944444	0.094722222	1	0.355555556	3.0	1.19	0.0	0.249219
53	12	1	3	4	3	2	1	1.0	1	2012	4	1	7	11.75	56	1	1	1	1274	0.297777778	0.097222222	0.0825	0.0	0.061944444	0.0	0	0.0625	1.5	0.17	0.0	0.124444
60	13	0	3	3	3	1	1	1.0	1	2012	4	1	7	17.33333333	54	1	0	1	3355	0.921388889	0.288611111	0.0125	0.15	0.225	0.15	1	0.251388889	3.9	0.7	0.0	0.2419889999999999
87	17	3	1	4	3	1	1	1.0	1	2012	4	1	7	11.83333333	45	0	1	1	8402	1.926944444	0.521111111	0.3444444439999999	0.183333333	0.0	0.0	0	0.359444444	1.9	1.3	0.0	0.391808
108	22	0	4	4	3	1	1	1.0	1	2012	4	1	7	23.76666667	42	1	1	2	4993	1.306111111	0.3913888889999999	0.238055556	0.0	0.283333333	0.166666667	1	0.236111111	3.0	0.87	0.0	0.0341176
124	26	0	3	4	5	1	5	0.0	1	2012	4	2	1	11.0	61	0	1	2	3594	0.905	0.281111111	0.208611111	0.0	0.230555556	0.1166666669999999	1	0.1938888889999999	0.0	0.7	0.0	0.159026
137	28	0	2	4	3	1	5	0.0	1	2012	4	2	1	18.0	84	0	1	2	6811	1.753333333	0.658055556	0.2575	0.333333333	0.0	0.0	0	0.327777778	0.0	1.12	0.0	0.30678
150	30	1	2	3	3	2	1	1.0	1	2012	4	2	1	16.83333333	42	0	1	1	4899	1.253611111	0.417777778	0.150555556	0.1166666669999999	0.2	0.183333333	2	0.4175	3.2	0.89	0.0	0.6739850000000001
177	38	0	1	3	4	6	1	1.0	1	2012	4	2	1	17.33333333	35	1	1	0	5318	1.175277778	0.471666667	0.2372222219999999	0.166666667	0.0	0.0	0	0.373888889	2.4	0.91	10.5	0.823923
190	41	0	8	4	3	1	5	0.0	1	2012	4	3	2	23.16666667	62	1	1	2	7057	1.729722222	0.548055556	0.156111111	0.0	0.470277778	0.2	1	0.279166667	0.0	1.09	0.0	0.1034829999999999
204	42	3	2	3	5	2	3	0.0	1	2012	4	3	2	12.0	13	1	0	2	3871	0.933055556	0.316111111	0.045555556	0.0	0.3677777779999999	0.0	0	0.216944444	0.0	0.58	0.0	0.183099
232	49	0	1	3	1	6	1	1.0	1	2012	4	3	2	10.0	50	0	0	0	3763	0.940277778	0.2775	0.122777778	0.0	0.381666667	0.0	0	0.236666667	1.5	0.67	0.0	0.335681
243	51	1	0	3	1	6	1	1.0	1	2012	4	3	2	7.0	23	1	0	0	5935	1.675833333	0.590833333	0.231666667	0.0	0.466666667	0.0	0	0.349166667	1.5	1.07	0.0	0.207637
286	65	2	0	1	1	2	1	1.0	1	2012	4	4	3	7.5	19	1	0	1	1649	0.401111111	0.131944444	0.173888889	0.0	0.1	0.0	0	0.099722222	1.5	0.26	0.0	0.337047
312	72	0	1	1	3	6	1	1.0	1	2012	4	6	5	12.41666667	33	1	0	0	664	0.208888889	0.072777778	0.170277778	0.0	0.0144444439999999	0.0	0	0.070833333	1.5	0.17	0.0	0.0
334	78	1	1	4	3	1	4	0.0	1	2012	4	6	5	20.5	75	0	1	2	23638	5.446666667000001	1.688333333	0.223055556	0.4	0.0	0.1	1	0.8080555559999999	4.25	3.68	0.0	0.405981
